mfc/s,num_threads,vector_size
112.156, 1, 50000
192.659, 2, 50000
273.698, 3, 50000
328.685, 4, 50000
341.72, 5, 50000
395.084, 6, 50000
405.088, 7, 50000
477.584, 8, 50000
442.934, 9, 50000
451.485, 10, 50000
390.429, 11, 50000
460.14, 12, 50000
318.167, 13, 50000
403.177, 14, 50000
286.759, 15, 50000
312.386, 16, 50000
124.97, 1, 100000
225.59, 2, 100000
297.259, 3, 100000
385.443, 4, 100000
492.564, 5, 100000
518.634, 6, 100000
611.501, 7, 100000
656.773, 8, 100000
627.541, 9, 100000
572.979, 10, 100000
573.569, 11, 100000
651.225, 12, 100000
681.835, 13, 100000
25.0236, 14, 100000
740.68, 15, 100000
704.52, 16, 100000
129.704, 1, 150000
230.126, 2, 150000
335.47, 3, 150000
466.146, 4, 150000
513.883, 5, 150000
686.636, 6, 150000
647.299, 7, 150000
759.846, 8, 150000
744.676, 9, 150000
664.723, 10, 150000
759.841, 11, 150000
927.858, 12, 150000
830.644, 13, 150000
794.726, 14, 150000
861.404, 15, 150000
996.176, 16, 150000
123.892, 1, 200000
208.934, 2, 200000
343.099, 3, 200000
433.011, 4, 200000
514.811, 5, 200000
616.724, 6, 200000
744.163, 7, 200000
801.975, 8, 200000
856.686, 9, 200000
870.333, 10, 200000
1053.9, 11, 200000
895.601, 12, 200000
1004.04, 13, 200000
971.553, 14, 200000
881.326, 15, 200000
928.272, 16, 200000
134.197, 1, 250000
258.68, 2, 250000
388.139, 3, 250000
498.206, 4, 250000
601.69, 5, 250000
699.905, 6, 250000
770.623, 7, 250000
1002.43, 8, 250000
900.982, 9, 250000
936.054, 10, 250000
1009.85, 11, 250000
1040.51, 12, 250000
1130.89, 13, 250000
1025.73, 14, 250000
1100.59, 15, 250000
1217.44, 16, 250000
128.858, 1, 300000
276.661, 2, 300000
382.267, 3, 300000
470.412, 4, 300000
590.131, 5, 300000
839.306, 6, 300000
856.601, 7, 300000
909.558, 8, 300000
947.77, 9, 300000
954.293, 10, 300000
1088.33, 11, 300000
