mfc/s,num_threads,vector_size
31.6998, 1, 50000
34.7633, 2, 50000
38.8505, 3, 50000
37.3402, 4, 50000
39.1552, 5, 50000
36.6742, 6, 50000
31.8474, 7, 50000
32.6863, 8, 50000
30.2111, 9, 50000
31.4149, 10, 50000
32.7305, 11, 50000
31.6249, 12, 50000
16.6485, 13, 50000
13.5367, 14, 50000
28.127, 15, 50000
27.5832, 16, 50000
53.2655, 1, 100000
64.7103, 2, 100000
72.0795, 3, 100000
76.1033, 4, 100000
71.6852, 5, 100000
67.5665, 6, 100000
64.9508, 7, 100000
66.5024, 8, 100000
66.1076, 9, 100000
67.7813, 10, 100000
61.5241, 11, 100000
61.2009, 12, 100000
23.6126, 13, 100000
59.0664, 14, 100000
10.3509, 15, 100000
58.906, 16, 100000
64.0113, 1, 150000
86.0547, 2, 150000
95.5858, 3, 150000
108.511, 4, 150000
96.0919, 5, 150000
96.1947, 6, 150000
98.0589, 7, 150000
94.5183, 8, 150000
92.6895, 9, 150000
35.1674, 10, 150000
89.6559, 11, 150000
57.6933, 12, 150000
86.6711, 13, 150000
77.6116, 14, 150000
82.7206, 15, 150000
77.2906, 16, 150000
73.2054, 1, 200000
100.234, 2, 200000
118.696, 3, 200000
124.688, 4, 200000
127.96, 5, 200000
125.497, 6, 200000
104.674, 7, 200000
125.892, 8, 200000
121.141, 9, 200000
87.3601, 10, 200000
120.359, 11, 200000
113.446, 12, 200000
115.233, 13, 200000
46.0011, 14, 200000
46.044, 15, 200000
113.1, 16, 200000
88.2887, 1, 250000
114.453, 2, 250000
140.528, 3, 250000
127.725, 4, 250000
147.175, 5, 250000
154.703, 6, 250000
139.222, 7, 250000
149.313, 8, 250000
156.309, 9, 250000
150.513, 10, 250000
153.002, 11, 250000
143.509, 12, 250000
134.289, 13, 250000
58.8845, 14, 250000
127.636, 15, 250000
132.062, 16, 250000
87.0067, 1, 300000
128.023, 2, 300000
154.108, 3, 300000
162.193, 4, 300000
173.677, 5, 300000
176.751, 6, 300000
186.34, 7, 300000
182.08, 8, 300000
177.307, 9, 300000
179.927, 10, 300000
182.484, 11, 300000
178.853, 12, 300000
174.488, 13, 300000
144.948, 14, 300000
165.347, 15, 300000
155.845, 16, 300000
100.411, 1, 350000
136.61, 2, 350000
165.695, 3, 350000
184.245, 4, 350000
194.404, 5, 350000
210.628, 6, 350000
202.707, 7, 350000
189.976, 8, 350000
129.92, 9, 350000
206.49, 10, 350000
177.725, 11, 350000
192.584, 12, 350000
180.537, 13, 350000
105.731, 14, 350000
175.999, 15, 350000
120.302, 16, 350000
88.0401, 1, 400000
142.789, 2, 400000
175.079, 3, 400000
206.117, 4, 400000
222.058, 5, 400000
215.396, 6, 400000
222.392, 7, 400000
210.346, 8, 400000
