mfc/s,num_threads,vector_size
20, 1, 200000
10, 2, 200000
20, 3, 200000
inf, 4, 200000
inf, 5, 200000
inf, 6, 200000
20, 7, 200000
20, 8, 200000
10, 9, 200000
10, 10, 200000
4, 11, 200000
20, 12, 200000
20, 13, 200000
20, 14, 200000
1.81818, 15, 200000
20, 16, 200000
40, 1, 400000
40, 2, 400000
40, 3, 400000
20, 4, 400000
40, 5, 400000
40, 6, 400000
40, 7, 400000
20, 8, 400000
20, 9, 400000
40, 10, 400000
20, 11, 400000
20, 12, 400000
13.3333, 13, 400000
13.3333, 14, 400000
20, 15, 400000
13.3333, 16, 400000
30, 1, 600000
20, 2, 600000
30, 3, 600000
20, 4, 600000
60, 5, 600000
30, 6, 600000
60, 7, 600000
20, 8, 600000
30, 9, 600000
30, 10, 600000
6.66667, 11, 600000
20, 12, 600000
20, 13, 600000
20, 14, 600000
15, 15, 600000
8.57143, 16, 600000
26.6667, 1, 800000
40, 2, 800000
40, 3, 800000
40, 4, 800000
40, 5, 800000
26.6667, 6, 800000
40, 7, 800000
40, 8, 800000
40, 9, 800000
40, 10, 800000
26.6667, 11, 800000
40, 12, 800000
26.6667, 13, 800000
8, 14, 800000
40, 15, 800000
26.6667, 16, 800000
50, 1, 1000000
50, 2, 1000000
33.3333, 3, 1000000
50, 4, 1000000
33.3333, 5, 1000000
25, 6, 1000000
33.3333, 7, 1000000
33.3333, 8, 1000000
33.3333, 9, 1000000
33.3333, 10, 1000000
9.09091, 11, 1000000
25, 12, 1000000
16.6667, 13, 1000000
33.3333, 14, 1000000
33.3333, 15, 1000000
25, 16, 1000000
30, 1, 1200000
30, 2, 1200000
40, 3, 1200000
40, 4, 1200000
40, 5, 1200000
40, 6, 1200000
40, 7, 1200000
40, 8, 1200000
40, 9, 1200000
8.57143, 10, 1200000
30, 11, 1200000
24, 12, 1200000
30, 13, 1200000
20, 14, 1200000
24, 15, 1200000
30, 16, 1200000
46.6667, 1, 1400000
35, 2, 1400000
46.6667, 3, 1400000
28, 4, 1400000
46.6667, 5, 1400000
46.6667, 6, 1400000
35, 7, 1400000
46.6667, 8, 1400000
28, 9, 1400000
35, 10, 1400000
35, 11, 1400000
35, 12, 1400000
28, 13, 1400000
35, 14, 1400000
28, 15, 1400000
28, 16, 1400000
40, 1, 1600000
40, 2, 1600000
40, 3, 1600000
40, 4, 1600000
40, 5, 1600000
32, 6, 1600000
32, 7, 1600000
32, 8, 1600000
40, 9, 1600000
40, 10, 1600000
40, 11, 1600000
40, 12, 1600000
26.6667, 13, 1600000
32, 14, 1600000
26.6667, 15, 1600000
32, 16, 1600000
45, 1, 1800000
36, 2, 1800000
45, 3, 1800000
36, 4, 1800000
36, 5, 1800000
36, 6, 1800000
30, 7, 1800000
36, 8, 1800000
36, 9, 1800000
25.7143, 10, 1800000
36, 11, 1800000
12.8571, 12, 1800000
25.7143, 13, 1800000
45, 14, 1800000
22.5, 15, 1800000
36, 16, 1800000
40, 1, 2000000
40, 2, 2000000
40, 3, 2000000
33.3333, 4, 2000000
33.3333, 5, 2000000
40, 6, 2000000
40, 7, 2000000
40, 8, 2000000
28.5714, 9, 2000000
33.3333, 10, 2000000
40, 11, 2000000
40, 12, 2000000
13.3333, 13, 2000000
28.5714, 14, 2000000
14.2857, 15, 2000000
28.5714, 16, 2000000
55, 1, 2200000
36.6667, 2, 2200000
44, 3, 2200000
44, 4, 2200000
31.4286, 5, 2200000
36.6667, 6, 2200000
36.6667, 7, 2200000
36.6667, 8, 2200000
31.4286, 9, 2200000
44, 10, 2200000
31.4286, 11, 2200000
36.6667, 12, 2200000
15.7143, 13, 2200000
36.6667, 14, 2200000
20, 15, 2200000
13.75, 16, 2200000
40, 1, 2400000
40, 2, 2400000
40, 3, 2400000
48, 4, 2400000
40, 5, 2400000
40, 6, 2400000
34.2857, 7, 2400000
34.2857, 8, 2400000
34.2857, 9, 2400000
34.2857, 10, 2400000
17.1429, 11, 2400000
40, 12, 2400000
20, 13, 2400000
30, 14, 2400000
24, 15, 2400000
15, 16, 2400000
43.3333, 1, 2600000
43.3333, 2, 2600000
43.3333, 3, 2600000
43.3333, 4, 2600000
43.3333, 5, 2600000
43.3333, 6, 2600000
37.1429, 7, 2600000
37.1429, 8, 2600000
43.3333, 9, 2600000
32.5, 10, 2600000
37.1429, 11, 2600000
43.3333, 12, 2600000
37.1429, 13, 2600000
43.3333, 14, 2600000
23.6364, 15, 2600000
28.8889, 16, 2600000
40, 1, 2800000
40, 2, 2800000
46.6667, 3, 2800000
40, 4, 2800000
40, 5, 2800000
40, 6, 2800000
35, 7, 2800000
35, 8, 2800000
40, 9, 2800000
40, 10, 2800000
93.3333, 11, 2800000
40, 12, 2800000
40, 13, 2800000
31.1111, 14, 2800000
15.5556, 15, 2800000
31.1111, 16, 2800000
42.8571, 1, 3000000
50, 2, 3000000
42.8571, 3, 3000000
37.5, 4, 3000000
42.8571, 5, 3000000
37.5, 6, 3000000
42.8571, 7, 3000000
37.5, 8, 3000000
42.8571, 9, 3000000
37.5, 10, 3000000
21.4286, 11, 3000000
42.8571, 12, 3000000
37.5, 13, 3000000
42.8571, 14, 3000000
23.0769, 15, 3000000
16.6667, 16, 3000000
53.3333, 1, 3200000
45.7143, 2, 3200000
40, 3, 3200000
40, 4, 3200000
40, 5, 3200000
40, 6, 3200000
45.7143, 7, 3200000
40, 8, 3200000
35.5556, 9, 3200000
40, 10, 3200000
35.5556, 11, 3200000
40, 12, 3200000
35.5556, 13, 3200000
32, 14, 3200000
20, 15, 3200000
35.5556, 16, 3200000
48.5714, 1, 3400000
48.5714, 2, 3400000
42.5, 3, 3400000
42.5, 4, 3400000
42.5, 5, 3400000
42.5, 6, 3400000
42.5, 7, 3400000
37.7778, 8, 3400000
37.7778, 9, 3400000
37.7778, 10, 3400000
34, 11, 3400000
37.7778, 12, 3400000
26.1538, 13, 3400000
37.7778, 14, 3400000
34, 15, 3400000
17.8947, 16, 3400000
40, 1, 3600000
45, 2, 3600000
45, 3, 3600000
40, 4, 3600000
45, 5, 3600000
45, 6, 3600000
40, 7, 3600000
36, 8, 3600000
21.1765, 9, 3600000
40, 10, 3600000
36, 11, 3600000
36, 12, 3600000
36, 13, 3600000
30, 14, 3600000
20, 15, 3600000
22.5, 16, 3600000
47.5, 1, 3800000
47.5, 2, 3800000
42.2222, 3, 3800000
42.2222, 4, 3800000
42.2222, 5, 3800000
42.2222, 6, 3800000
42.2222, 7, 3800000
42.2222, 8, 3800000
42.2222, 9, 3800000
38, 10, 3800000
38, 11, 3800000
42.2222, 12, 3800000
47.5, 13, 3800000
20, 14, 3800000
42.2222, 15, 3800000
34.5455, 16, 3800000
57.1429, 1, 4000000
44.4444, 2, 4000000
44.4444, 3, 4000000
40, 4, 4000000
36.3636, 5, 4000000
40, 6, 4000000
36.3636, 7, 4000000
36.3636, 8, 4000000
40, 9, 4000000
33.3333, 10, 4000000
44.4444, 11, 4000000
33.3333, 12, 4000000
22.2222, 13, 4000000
40, 14, 4000000
25, 15, 4000000
40, 16, 4000000
42, 1, 4200000
46.6667, 2, 4200000
38.1818, 3, 4200000
42, 4, 4200000
42, 5, 4200000
42, 6, 4200000
38.1818, 7, 4200000
38.1818, 8, 4200000
42, 9, 4200000
38.1818, 10, 4200000
35, 11, 4200000
42, 12, 4200000
42, 13, 4200000
42, 14, 4200000
21, 15, 4200000
23.3333, 16, 4200000
55, 1, 4400000
44, 2, 4400000
44, 3, 4400000
44, 4, 4400000
40, 5, 4400000
44, 6, 4400000
40, 7, 4400000
36.6667, 8, 4400000
40, 9, 4400000
36.6667, 10, 4400000
31.4286, 11, 4400000
31.4286, 12, 4400000
33.8462, 13, 4400000
36.6667, 14, 4400000
36.6667, 15, 4400000
23.1579, 16, 4400000
51.1111, 1, 4600000
51.1111, 2, 4600000
46, 3, 4600000
38.3333, 4, 4600000
46, 5, 4600000
41.8182, 6, 4600000
38.3333, 7, 4600000
41.8182, 8, 4600000
38.3333, 9, 4600000
46, 10, 4600000
24.2105, 11, 4600000
41.8182, 12, 4600000
21.9048, 13, 4600000
38.3333, 14, 4600000
35.3846, 15, 4600000
32.8571, 16, 4600000
60, 1, 4800000
43.6364, 2, 4800000
48, 3, 4800000
40, 4, 4800000
40, 5, 4800000
43.6364, 6, 4800000
40, 7, 4800000
40, 8, 4800000
40, 9, 4800000
40, 10, 4800000
40, 11, 4800000
36.9231, 12, 4800000
34.2857, 13, 4800000
40, 14, 4800000
40, 15, 4800000
40, 16, 4800000
55.5556, 1, 5000000
45.4545, 2, 5000000
45.4545, 3, 5000000
45.4545, 4, 5000000
41.6667, 5, 5000000
41.6667, 6, 5000000
41.6667, 7, 5000000
38.4615, 8, 5000000
38.4615, 9, 5000000
38.4615, 10, 5000000
26.3158, 11, 5000000
35.7143, 12, 5000000
22.7273, 13, 5000000
41.6667, 14, 5000000
29.4118, 15, 5000000
38.4615, 16, 5000000
52, 1, 5200000
47.2727, 2, 5200000
43.3333, 3, 5200000
40, 4, 5200000
43.3333, 5, 5200000
43.3333, 6, 5200000
40, 7, 5200000
43.3333, 8, 5200000
43.3333, 9, 5200000
43.3333, 10, 5200000
43.3333, 11, 5200000
37.1429, 12, 5200000
40, 13, 5200000
37.1429, 14, 5200000
37.1429, 15, 5200000
40, 16, 5200000
60, 1, 5400000
49.0909, 2, 5400000
