mfc/s,num_threads,vector_size
3.81556, 1, 200000
4.07382, 2, 200000
4.06678, 3, 200000
4.16398, 4, 200000
4.26476, 5, 200000
4.4156, 6, 200000
4.39203, 7, 200000
4.22949, 8, 200000
4.20672, 9, 200000
3.75615, 10, 200000
4.20902, 11, 200000
4.08397, 12, 200000
3.7496, 13, 200000
3.34135, 14, 200000
3.93763, 15, 200000
3.38364, 16, 200000
7.0055, 1, 400000
7.8964, 2, 400000
8.00272, 3, 400000
8.1828, 4, 400000
8.27917, 5, 400000
8.44844, 6, 400000
8.34359, 7, 400000
8.03552, 8, 400000
8.68961, 9, 400000
8.69017, 10, 400000
8.71327, 11, 400000
8.32743, 12, 400000
6.35991, 13, 400000
7.98499, 14, 400000
6.29099, 15, 400000
7.83868, 16, 400000
10.4348, 1, 600000
11.4334, 2, 600000
11.8173, 3, 600000
11.6464, 4, 600000
11.9851, 5, 600000
11.7192, 6, 600000
12.5039, 7, 600000
12.5855, 8, 600000
12.6276, 9, 600000
12.453, 10, 600000
12.1327, 11, 600000
13.1208, 12, 600000
12.5741, 13, 600000
12.0216, 14, 600000
12.9179, 15, 600000
10.2919, 16, 600000
12.9936, 1, 800000
14.2493, 2, 800000
14.9995, 3, 800000
15.7214, 4, 800000
15.8319, 5, 800000
15.845, 6, 800000
16.5358, 7, 800000
16.4376, 8, 800000
16.3938, 9, 800000
17.215, 10, 800000
17.3637, 11, 800000
16.3723, 12, 800000
16.3292, 13, 800000
17.1814, 14, 800000
16.0462, 15, 800000
16.7256, 16, 800000
15.1156, 1, 1000000
17.9112, 2, 1000000
18.5518, 3, 1000000
19.0237, 4, 1000000
19.0527, 5, 1000000
20.4415, 6, 1000000
20.0525, 7, 1000000
20.8677, 8, 1000000
19.5488, 9, 1000000
16.3044, 10, 1000000
21.5959, 11, 1000000
19.0975, 12, 1000000
20.0835, 13, 1000000
21.3757, 14, 1000000
20.8712, 15, 1000000
20.9253, 16, 1000000
16.7457, 1, 1200000
19.6489, 2, 1200000
21.2243, 3, 1200000
23.104, 4, 1200000
23.1526, 5, 1200000
25.8543, 6, 1200000
24.3625, 7, 1200000
23.2955, 8, 1200000
24.3151, 9, 1200000
25.6844, 10, 1200000
25.0078, 11, 1200000
25.3416, 12, 1200000
24.7581, 13, 1200000
22.1464, 14, 1200000
24.8437, 15, 1200000
20.5065, 16, 1200000
20.119, 1, 1400000
22.7705, 2, 1400000
25.0179, 3, 1400000
26.0402, 4, 1400000
26.297, 5, 1400000
28.1317, 6, 1400000
27.0641, 7, 1400000
28.2691, 8, 1400000
27.645, 9, 1400000
27.7085, 10, 1400000
26.4026, 11, 1400000
28.5773, 12, 1400000
27.3438, 13, 1400000
29.3871, 14, 1400000
28.8084, 15, 1400000
23.6455, 16, 1400000
20.5769, 1, 1600000
25.5832, 2, 1600000
28.3251, 3, 1600000
29.7188, 4, 1600000
31.2531, 5, 1600000
31.5981, 6, 1600000
31.3418, 7, 1600000
32.6951, 8, 1600000
29.3508, 9, 1600000
32.059, 10, 1600000
32.9666, 11, 1600000
32.7225, 12, 1600000
24.6552, 13, 1600000
32.566, 14, 1600000
32.7708, 15, 1600000
26.9951, 16, 1600000
22.3392, 1, 1800000
28.2748, 2, 1800000
30.1558, 3, 1800000
32.2858, 4, 1800000
33.2643, 5, 1800000
35.5619, 6, 1800000
36.2071, 7, 1800000
35.9885, 8, 1800000
36.6315, 9, 1800000
34.7216, 10, 1800000
35.5703, 11, 1800000
34.4037, 12, 1800000
35.1934, 13, 1800000
37.4104, 14, 1800000
33.9963, 15, 1800000
36.8422, 16, 1800000
24.7381, 1, 2000000
31.4179, 2, 2000000
34.0356, 3, 2000000
37.0597, 4, 2000000
41.2865, 5, 2000000
38.3259, 6, 2000000
40.4016, 7, 2000000
39.4586, 8, 2000000
39.0648, 9, 2000000
38.9075, 10, 2000000
40.0048, 11, 2000000
31.794, 12, 2000000
40.1865, 13, 2000000
38.7334, 14, 2000000
40.9735, 15, 2000000
27.5296, 16, 2000000
24.9563, 1, 2200000
35.2073, 2, 2200000
36.3721, 3, 2200000
37.5818, 4, 2200000
35.7247, 5, 2200000
41.0302, 6, 2200000
43.372, 7, 2200000
43.3327, 8, 2200000
40.7951, 9, 2200000
36.7653, 10, 2200000
40.6985, 11, 2200000
43.036, 12, 2200000
43.4431, 13, 2200000
45.2796, 14, 2200000
43.1991, 15, 2200000
44.6619, 16, 2200000
27.4738, 1, 2400000
34.8452, 2, 2400000
38.4763, 3, 2400000
41.6183, 4, 2400000
44.031, 5, 2400000
44.3656, 6, 2400000
44.1696, 7, 2400000
45.3352, 8, 2400000
46.3258, 9, 2400000
46.0998, 10, 2400000
46.0079, 11, 2400000
45.8068, 12, 2400000
47.3681, 13, 2400000
42.1504, 14, 2400000
43.8548, 15, 2400000
44.2543, 16, 2400000
29.2431, 1, 2600000
37.517, 2, 2600000
44.3232, 3, 2600000
45.6653, 4, 2600000
46.5866, 5, 2600000
48.7576, 6, 2600000
47.1595, 7, 2600000
48.2482, 8, 2600000
49.3912, 9, 2600000
49.6003, 10, 2600000
50.0925, 11, 2600000
51.4302, 12, 2600000
51.0454, 13, 2600000
51.167, 14, 2600000
42.4684, 15, 2600000
41.9422, 16, 2600000
30.6282, 1, 2800000
38.4832, 2, 2800000
45.2481, 3, 2800000
49.197, 4, 2800000
50.2666, 5, 2800000
