mfc/s,num_threads,vector_size
3.779, 1, 200000
4.13189, 2, 200000
4.2613, 3, 200000
4.2822, 4, 200000
4.07307, 5, 200000
4.28064, 6, 200000
4.31779, 7, 200000
3.85446, 8, 200000
4.29092, 9, 200000
4.27031, 10, 200000
4.00625, 11, 200000
3.97078, 12, 200000
4.26831, 13, 200000
3.78738, 14, 200000
3.45214, 15, 200000
3.38782, 16, 200000
7.26784, 1, 400000
7.59258, 2, 400000
8.14598, 3, 400000
7.45531, 4, 400000
7.93966, 5, 400000
8.39472, 6, 400000
8.46632, 7, 400000
8.19958, 8, 400000
8.70095, 9, 400000
8.64398, 10, 400000
6.17227, 11, 400000
8.01009, 12, 400000
6.79348, 13, 400000
7.48055, 14, 400000
6.90179, 15, 400000
6.19425, 16, 400000
10.1945, 1, 600000
11.3428, 2, 600000
11.7357, 3, 600000
12.6572, 4, 600000
11.7477, 5, 600000
12.8656, 6, 600000
12.2519, 7, 600000
12.3084, 8, 600000
11.6113, 9, 600000
12.9741, 10, 600000
13.0056, 11, 600000
12.459, 12, 600000
12.3998, 13, 600000
11.6841, 14, 600000
11.114, 15, 600000
10.3602, 16, 600000
12.8405, 1, 800000
14.1666, 2, 800000
15.2967, 3, 800000
16.0269, 4, 800000
15.8147, 5, 800000
16.5498, 6, 800000
15.491, 7, 800000
16.6618, 8, 800000
16.4891, 9, 800000
17.0703, 10, 800000
16.3623, 11, 800000
14.0484, 12, 800000
16.5683, 13, 800000
13.2906, 14, 800000
15.0407, 15, 800000
13.9094, 16, 800000
15.4782, 1, 1000000
17.983, 2, 1000000
17.7258, 3, 1000000
19.2374, 4, 1000000
20.662, 5, 1000000
20.4792, 6, 1000000
20.5499, 7, 1000000
19.6974, 8, 1000000
20.3289, 9, 1000000
21.0393, 10, 1000000
18.304, 11, 1000000
17.3647, 12, 1000000
21.2979, 13, 1000000
20.0715, 14, 1000000
20.193, 15, 1000000
19.5343, 16, 1000000
17.7786, 1, 1200000
20.5627, 2, 1200000
21.539, 3, 1200000
22.8271, 4, 1200000
22.5263, 5, 1200000
23.8213, 6, 1200000
24.176, 7, 1200000
24.2512, 8, 1200000
23.9306, 9, 1200000
23.8592, 10, 1200000
25.2228, 11, 1200000
24.0684, 12, 1200000
25.5254, 13, 1200000
20.2112, 14, 1200000
20.1918, 15, 1200000
24.3699, 16, 1200000
19.3769, 1, 1400000
24.1458, 2, 1400000
24.6422, 3, 1400000
26.298, 4, 1400000
27.2119, 5, 1400000
27.7629, 6, 1400000
26.6388, 7, 1400000
26.8163, 8, 1400000
28.5732, 9, 1400000
28.7398, 10, 1400000
28.9525, 11, 1400000
23.5342, 12, 1400000
26.907, 13, 1400000
23.7272, 14, 1400000
28.207, 15, 1400000
28.5475, 16, 1400000
21.0369, 1, 1600000
24.1706, 2, 1600000
28.08, 3, 1600000
29.5596, 4, 1600000
29.5962, 5, 1600000
30.326, 6, 1600000
32.3193, 7, 1600000
31.697, 8, 1600000
31.1709, 9, 1600000
30.6144, 10, 1600000
31.3701, 11, 1600000
24.9221, 12, 1600000
30.771, 13, 1600000
31.9904, 14, 1600000
31.3357, 15, 1600000
32.6025, 16, 1600000
22.0267, 1, 1800000
