mfc/s,num_threads,vector_size
22.779, 1, 1000000
67.5083, 2, 1000000
91.7263, 3, 1000000
109.733, 4, 1000000
120.948, 5, 1000000
134.844, 6, 1000000
139.997, 7, 1000000
149.633, 8, 1000000
147.842, 9, 1000000
158.178, 10, 1000000
164.339, 11, 1000000
149.165, 12, 1000000
170.823, 13, 1000000
132.908, 14, 1000000
169.033, 15, 1000000
92.1404, 16, 1000000
40.0705, 1, 2000000
76.0977, 2, 2000000
108.944, 3, 2000000
137.014, 4, 2000000
159.16, 5, 2000000
177.778, 6, 2000000
189.448, 7, 2000000
206.462, 8, 2000000
222.568, 9, 2000000
233.918, 10, 2000000
190.223, 11, 2000000
203.521, 12, 2000000
254.939, 13, 2000000
222.074, 14, 2000000
241.138, 15, 2000000
129.559, 16, 2000000
47.607, 1, 3000000
84.9257, 2, 3000000
118.437, 3, 3000000
149.388, 4, 3000000
177.431, 5, 3000000
200.481, 6, 3000000
221.811, 7, 3000000
234.76, 8, 3000000
259.943, 9, 3000000
221.5, 10, 3000000
270.563, 11, 3000000
292.54, 12, 3000000
318.844, 13, 3000000
317.292, 14, 3000000
328.263, 15, 3000000
338.371, 16, 3000000
47.4637, 1, 4000000
88.9838, 2, 4000000
123.908, 3, 4000000
156.519, 4, 4000000
187.406, 5, 4000000
210.46, 6, 4000000
237.487, 7, 4000000
259.504, 8, 4000000
259.286, 9, 4000000
301.91, 10, 4000000
304.206, 11, 4000000
358.038, 12, 4000000
354.39, 13, 4000000
347.072, 14, 4000000
350.14, 15, 4000000
225.619, 16, 4000000
54.5102, 1, 5000000
92.43, 2, 5000000
130.32, 3, 5000000
161.749, 4, 5000000
194.75, 5, 5000000
226.716, 6, 5000000
253.331, 7, 5000000
314.426, 8, 5000000
299.67, 9, 5000000
296.173, 10, 5000000
350.214, 11, 5000000
357.373, 12, 5000000
373.832, 13, 5000000
352.038, 14, 5000000
255.794, 15, 5000000
369.413, 16, 5000000
55.943, 1, 6000000
96.7492, 2, 6000000
133.615, 3, 6000000
168.152, 4, 6000000
202.566, 5, 6000000
231.956, 6, 6000000
265.135, 7, 6000000
290.529, 8, 6000000
315.093, 9, 6000000
339.482, 10, 6000000
372.532, 11, 6000000
389.94, 12, 6000000
401.526, 13, 6000000
289.659, 14, 6000000
437.477, 15, 6000000
396.17, 16, 6000000
57.8245, 1, 7000000
99.4149, 2, 7000000
138.54, 3, 7000000
173.456, 4, 7000000
207.573, 5, 7000000
235.611, 6, 7000000
271.276, 7, 7000000
301.399, 8, 7000000
326.067, 9, 7000000
339.279, 10, 7000000
375.154, 11, 7000000
396.96, 12, 7000000
424.268, 13, 7000000
367.976, 14, 7000000
461.133, 15, 7000000
287.864, 16, 7000000
61.4902, 1, 8000000
102.183, 2, 8000000
141.764, 3, 8000000
176.608, 4, 8000000
213.163, 5, 8000000
232.12, 6, 8000000
276.234, 7, 8000000
308.452, 8, 8000000
334.616, 9, 8000000
357.015, 10, 8000000
397.259, 11, 8000000
410.593, 12, 8000000
277.143, 13, 8000000
377.643, 14, 8000000
285.022, 15, 8000000
317.334, 16, 8000000
63.4706, 1, 9000000
105.135, 2, 9000000
144.592, 3, 9000000
181.892, 4, 9000000
217.934, 5, 9000000
250.668, 6, 9000000
284.675, 7, 9000000
313.512, 8, 9000000
341.258, 9, 9000000
371.012, 10, 9000000
311.107, 11, 9000000
414.041, 12, 9000000
455.696, 13, 9000000
458.015, 14, 9000000
494.505, 15, 9000000
323.625, 16, 9000000
71.9823, 1, 10000000
107.588, 2, 10000000
147.046, 3, 10000000
170.503, 4, 10000000
205.436, 5, 10000000
254.985, 6, 10000000
289.084, 7, 10000000
320.164, 8, 10000000
352.398, 9, 10000000
371.209, 10, 10000000
397.915, 11, 10000000
417.519, 12, 10000000
444.701, 13, 10000000
442.321, 14, 10000000
507.795, 15, 10000000
519.211, 16, 10000000
