num_threads,vector_size,mfc/s,hpx_counter
1, 1000000 ,12.4336,"
/threads{locality#0/total/total}/idle-rate,1,0.069194,[s],5227,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.069222,[s],5224,[0.01%] "
2, 1000000 ,17.7418,"
/threads{locality#0/total/total}/idle-rate,1,0.050980,[s],7211,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.050942,[s],7019,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,0.050925,[s],7387,[0.01%] "
3, 1000000 ,18.6112,"
/threads{locality#0/total/total}/idle-rate,1,0.050669,[s],8012,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.050473,[s],8552,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,0.050699,[s],7535,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,0.050595,[s],7946,[0.01%] "
4, 1000000 ,18.7691,"
/threads{locality#0/total/total}/idle-rate,1,0.043606,[s],8350,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.043400,[s],8791,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,0.043520,[s],8795,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,0.043436,[s],7699,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,0.043301,[s],8094,[0.01%] "
5, 1000000 ,19.4837,"
/threads{locality#0/total/total}/idle-rate,1,0.044962,[s],8693,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.044905,[s],8462,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,0.044674,[s],9080,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,0.044800,[s],7887,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,0.044700,[s],8999,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,0.044588,[s],9011,[0.01%] "
6, 1000000 ,19.4182,"
/threads{locality#0/total/total}/idle-rate,1,0.046433,[s],8893,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.046543,[s],9135,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,0.047152,[s],9208,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,0.046881,[s],9205,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,0.046825,[s],7976,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,0.047186,[s],9223,[0.01%]
/threads{locality#0/pool#default/worker-thread#5}/idle-rate,1,0.047057,[s],8612,[0.01%] "
7, 1000000 ,19.5217,"
/threads{locality#0/total/total}/idle-rate,1,0.039600,[s],8955,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.039545,[s],9198,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,0.039135,[s],8085,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,0.039374,[s],9228,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,0.038845,[s],9277,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,0.039020,[s],9204,[0.01%]
/threads{locality#0/pool#default/worker-thread#5}/idle-rate,1,0.039573,[s],9135,[0.01%]
/threads{locality#0/pool#default/worker-thread#6}/idle-rate,1,0.038866,[s],8541,[0.01%] "
8, 1000000 ,19.8606,"
/threads{locality#0/total/total}/idle-rate,1,0.055937,[s],9330,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.055780,[s],9409,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,0.055241,[s],9469,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,0.055346,[s],9521,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,0.055461,[s],9103,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,0.055590,[s],9529,[0.01%]
/threads{locality#0/pool#default/worker-thread#5}/idle-rate,1,0.055204,[s],9505,[0.01%]
/threads{locality#0/pool#default/worker-thread#6}/idle-rate,1,0.055812,[s],8656,[0.01%]
/threads{locality#0/pool#default/worker-thread#7}/idle-rate,1,0.055486,[s],9457,[0.01%] "
9, 1000000 ,20.4082,"
/threads{locality#0/total/total}/idle-rate,1,0.060856,[s],9359,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.060557,[s],9644,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,0.061095,[s],8155,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,0.060725,[s],9555,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,0.060925,[s],9637,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,0.061016,[s],9533,[0.01%]
/threads{locality#0/pool#default/worker-thread#5}/idle-rate,1,0.060591,[s],9537,[0.01%]
/threads{locality#0/pool#default/worker-thread#6}/idle-rate,1,0.060643,[s],8769,[0.01%]
/threads{locality#0/pool#default/worker-thread#7}/idle-rate,1,0.060557,[s],9627,[0.01%]
/threads{locality#0/pool#default/worker-thread#8}/idle-rate,1,0.061037,[s],8841,[0.01%] "
10, 1000000 ,20.3388,"
/threads{locality#0/total/total}/idle-rate,1,0.060314,[s],8813,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.059464,[s],9502,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,0.059795,[s],8675,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,0.060032,[s],9538,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,0.060140,[s],9579,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,0.059935,[s],8634,[0.01%]
/threads{locality#0/pool#default/worker-thread#5}/idle-rate,1,0.060234,[s],8351,[0.01%]
/threads{locality#0/pool#default/worker-thread#6}/idle-rate,1,0.059788,[s],9123,[0.01%]
/threads{locality#0/pool#default/worker-thread#7}/idle-rate,1,0.060071,[s],7362,[0.01%]
/threads{locality#0/pool#default/worker-thread#8}/idle-rate,1,0.060372,[s],8660,[0.01%]
/threads{locality#0/pool#default/worker-thread#9}/idle-rate,1,0.060379,[s],8662,[0.01%] "
