num_threads,vector_size,mfc/s
1, 1000000 ,39.8676,"
2, 1000000 ,69.0465,"
3, 1000000 ,87.7886,"
4, 1000000 ,103.778,"
5, 1000000 ,115.915,"
6, 1000000 ,129.567,"
7, 1000000 ,133.779,"
8, 1000000 ,142.776,"
9, 1000000 ,147.449,"
10, 1000000 ,157.953,"
11, 1000000 ,142.531,"
12, 1000000 ,158.328,"
13, 1000000 ,161.421,"
14, 1000000 ,71.398,"
15, 1000000 ,66.2164,"
16, 1000000 ,157.853,"
1, 2000000 ,44.6249,"
2, 2000000 ,80.1603,"
3, 2000000 ,106.786,"
4, 2000000 ,131.002,"
5, 2000000 ,156.067,"
6, 2000000 ,172.861,"
7, 2000000 ,190.042,"
8, 2000000 ,197.18,"
9, 2000000 ,199.461,"
10, 2000000 ,222.841,"
11, 2000000 ,232.775,"
12, 2000000 ,229.253,"
13, 2000000 ,241.342,"
14, 2000000 ,240.993,"
15, 2000000 ,253.229,"
16, 2000000 ,235.405,"
1, 3000000 ,47.7031,"
2, 3000000 ,82.2978,"
3, 3000000 ,115.727,"
4, 3000000 ,146.987,"
5, 3000000 ,172.068,"
6, 3000000 ,196.928,"
7, 3000000 ,213.888,"
8, 3000000 ,233.481,"
9, 3000000 ,245.68,"
10, 3000000 ,262.858,"
11, 3000000 ,272.306,"
12, 3000000 ,288.351,"
13, 3000000 ,294.291,"
14, 3000000 ,300.782,"
15, 3000000 ,382.848,"
16, 3000000 ,325.415,"
1, 4000000 ,50.9593,"
2, 4000000 ,90.905,"
3, 4000000 ,120.573,"
4, 4000000 ,154.697,"
5, 4000000 ,181.604,"
6, 4000000 ,212.529,"
7, 4000000 ,233.904,"
8, 4000000 ,261.797,"
9, 4000000 ,279.115,"
10, 4000000 ,294.269,"
11, 4000000 ,287.79,"
12, 4000000 ,327.225,"
13, 4000000 ,198.059,"
14, 4000000 ,355.24,"
15, 4000000 ,215.077,"
16, 4000000 ,239.521,"
1, 5000000 ,53.6579,"
2, 5000000 ,92.2203,"
3, 5000000 ,128.103,"
4, 5000000 ,162.09,"
5, 5000000 ,191.953,"
6, 5000000 ,219.954,"
7, 5000000 ,246.257,"
8, 5000000 ,275.999,"
9, 5000000 ,288.367,"
10, 5000000 ,311.585,"
11, 5000000 ,278.583,"
12, 5000000 ,347.608,"
13, 5000000 ,374.728,"
14, 5000000 ,382.263,"
15, 5000000 ,403.454,"
16, 5000000 ,257.626,"
1, 6000000 ,55.1496,"
2, 6000000 ,97.2794,"
3, 6000000 ,131.958,"
4, 6000000 ,166.824,"
5, 6000000 ,197.563,"
6, 6000000 ,230.017,"
7, 6000000 ,258.12,"
8, 6000000 ,280.243,"
9, 6000000 ,313.48,"
10, 6000000 ,327.136,"
11, 6000000 ,353.586,"
12, 6000000 ,360.902,"
13, 6000000 ,375.469,"
14, 6000000 ,249.408,"
15, 6000000 ,430.942,"
16, 6000000 ,436.522,"
1, 7000000 ,58.1569,"
2, 7000000 ,101.01,"
3, 7000000 ,135.669,"
4, 7000000 ,170.953,"
5, 7000000 ,204.936,"
6, 7000000 ,234.836,"
7, 7000000 ,264.56,"
8, 7000000 ,298.253,"
9, 7000000 ,318.689,"
10, 7000000 ,347.067,"
11, 7000000 ,365.554,"
12, 7000000 ,389.929,"
13, 7000000 ,251.771,"
14, 7000000 ,258.36,"
15, 7000000 ,434.297,"
16, 7000000 ,466.604,"
1, 8000000 ,60.4006,"
2, 8000000 ,95.2574,"
3, 8000000 ,140.11,"
4, 8000000 ,179.135,"
5, 8000000 ,210.693,"
6, 8000000 ,240.87,"
7, 8000000 ,272.322,"
8, 8000000 ,300.154,"
9, 8000000 ,331.771,"
10, 8000000 ,351.741,"
11, 8000000 ,375.675,"
12, 8000000 ,363.653,"
13, 8000000 ,373.204,"
14, 8000000 ,440.747,"
15, 8000000 ,468.028,"
16, 8000000 ,454.881,"
1, 9000000 ,62.1058,"
2, 9000000 ,106.3,"
3, 9000000 ,145.175,"
4, 9000000 ,179.351,"
5, 9000000 ,215.363,"
6, 9000000 ,251.727,"
7, 9000000 ,282.167,"
8, 9000000 ,310.655,"
9, 9000000 ,330.591,"
10, 9000000 ,364.964,"
11, 9000000 ,390.286,"
12, 9000000 ,434.091,"
13, 9000000 ,427.127,"
14, 9000000 ,282.442,"
15, 9000000 ,482.859,"
16, 9000000 ,513.171,"
1, 10000000 ,63.7471,"
2, 10000000 ,109.444,"
3, 10000000 ,146.116,"
4, 10000000 ,184.227,"
5, 10000000 ,218.169,"
6, 10000000 ,252.181,"
7, 10000000 ,286.755,"
8, 10000000 ,316.156,"
9, 10000000 ,315.189,"
10, 10000000 ,364.91,"
11, 10000000 ,423.334,"
12, 10000000 ,426.84,"
13, 10000000 ,448.793,"
14, 10000000 ,478.652,"
15, 10000000 ,468.582,"
16, 10000000 ,308.547,"
