num_threads,vector_size,mfc/s,counter
1,1000000,38.4882, 
2,1000000,68.8942, 
3,1000000,89.222, 
4,1000000,105.798, 
5,1000000,121.33, 
6,1000000,132.943, 
7,1000000,131.891, 
8,1000000,138.408, 
9,1000000,147.427, 
10,1000000,100.634, 
11,1000000,141.603, 
12,1000000,136.444, 
13,1000000,146.284, 
14,1000000,127.016, 
15,1000000,153.233, 
16,1000000,155.763, 
1,2000000,43.4783, 
2,2000000,79.2864, 
3,2000000,108.272, 
4,2000000,130.421, 
5,2000000,152.358, 
6,2000000,174.535, 
7,2000000,182.548, 
8,2000000,200.1, 
9,2000000,165.989, 
10,2000000,224.82, 
11,2000000,212.925, 
12,2000000,218.627, 
13,2000000,239.837, 
14,2000000,252.143, 
15,2000000,243.665, 
16,2000000,217.557, 
1,3000000,49.0156, 
2,3000000,83.5748, 
3,3000000,115.336, 
4,3000000,145.964, 
5,3000000,173.04, 
6,3000000,196.644, 
7,3000000,223.081, 
8,3000000,236.836, 
9,3000000,231.357, 
10,3000000,235.46, 
11,3000000,269.639, 
12,3000000,288.6, 
13,3000000,290.501, 
14,3000000,300.09, 
15,3000000,180.592, 
16,3000000,210.128, 
1,4000000,51.4542, 
2,4000000,88.6466, 
3,4000000,123.851, 
4,4000000,154.811, 
5,4000000,180.546, 
6,4000000,208.561, 
7,4000000,238.479, 
8,4000000,264.271, 
9,4000000,275.672, 
10,4000000,246.655, 
11,4000000,310.222, 
12,4000000,301.182, 
13,4000000,314.095, 
14,4000000,330.006, 
15,4000000,306.513, 
16,4000000,324.044, 
1,5000000,49.2868, 
2,5000000,91.5516, 
3,5000000,128.304, 
4,5000000,160.958, 
5,5000000,193.356, 
6,5000000,222.876, 
7,5000000,249.439, 
8,5000000,272.851, 
9,5000000,299.904, 
10,5000000,305.176, 
11,5000000,326.413, 
12,5000000,329.881, 
13,5000000,352.137, 
14,5000000,235.217, 
15,5000000,304.971, 
16,5000000,342.607, 
1,6000000,51.3677, 
2,6000000,95.042, 
3,6000000,133.523, 
4,6000000,167.818, 
5,6000000,179.991, 
6,6000000,229.13, 
7,6000000,261.085, 
8,6000000,267.404, 
9,6000000,299.267, 
10,6000000,326.122, 
11,6000000,345.403, 
12,6000000,367.692, 
13,6000000,388.174, 
14,6000000,371.218, 
15,6000000,336.757, 
16,6000000,343.466, 
1,7000000,57.2185, 
2,7000000,93.781, 
3,7000000,137.833, 
4,7000000,171.855, 
5,7000000,199.47, 
6,7000000,238.144, 
7,7000000,266.362, 
8,7000000,267.267, 
9,7000000,314.748, 
10,7000000,336.976, 
11,7000000,357.125, 
12,7000000,384.278, 
13,7000000,374.131, 
14,7000000,438.899, 
15,7000000,429.29, 
16,7000000,474.769, 
1,8000000,52.3629, 
2,8000000,101.543, 
3,8000000,141.211, 
4,8000000,176.905, 
5,8000000,210.007, 
6,8000000,240.536, 
7,8000000,273.654, 
8,8000000,301.42, 
9,8000000,326.918, 
10,8000000,365.748, 
11,8000000,345.692, 
12,8000000,397.852, 
13,8000000,423.191, 
14,8000000,398.784, 
15,8000000,273.177, 
16,8000000,463.204, 
1,9000000,65.4984, 
2,9000000,104.486, 
3,9000000,142.277, 
4,9000000,181.039, 
5,9000000,209.692, 
6,9000000,251.298, 
7,9000000,280.243, 
8,9000000,286.962, 
9,9000000,336.952, 
10,9000000,362.158, 
11,9000000,370.859, 
12,9000000,399.68, 
13,9000000,414.804, 
14,9000000,440.227, 
15,9000000,482.91, 
16,9000000,489.903, 
1,10000000,96.4692, 
2,10000000,106.377, 
3,10000000,147.695, 
4,10000000,184.607, 
5,10000000,217.127, 
6,10000000,253.614, 
7,10000000,273.958, 
8,10000000,313.568, 
9,10000000,291.019, 
10,10000000,376.18, 
11,10000000,405.022, 
12,10000000,423.173, 
13,10000000,443.086, 
14,10000000,285.299, 
15,10000000,533.39, 
16,10000000,276.403, 
